# carrierwerke GmbH GeoFeed
# E-Mail: noc@carrierwerke.de
# Last Update: 2024-08-26 16:06:00
# network, iso_country code, iso_region_code, city_name, postal_code
45.67.28.0/22,DE,,,
78.31.200.0/22,DE,,,
87.238.184.0/21,DE,,,
87.238.187.0/24,DE,,,
87.238.190.0/24,DE,,,
89.58.128.0/21,DE,,,
91.212.106.0/24,DE,,,
91.214.127.0/24,DE,,,
109.197.165.0/24,DE,,,
185.26.200.0/22,DE,,,
185.146.48.0/22,DE,,,
185.191.216.0/22,DE,,,
185.221.148.0/22,DE,,,
194.48.242.0/24,DE,,,
194.156.212.0/23,DE,,,
2a02:8c0::/32,DE,,,
2A02:8C0:10::/44,DE,,,
2A02:8C0:20::/44,DE,,,
2A07:E884::/30,DE,,,
2A0A:2040::/32,DE,,,
2a0c:be00::/32,DE,,,
2a13:d500::/32,DE,,,
